ds,ticker,y
2023-05-17 00:00:00,롯데백화점에비뉴엘월드타워점,0.00201
2023-05-17 00:00:00,롯데월드몰,0.00357
2023-05-17 00:00:00,롯데월드잠실점,0.00371
2023-05-17 00:00:00,방이동 먹자골목,0.02594
2023-05-17 00:00:00,올림픽공원세계평화의문,0.0
2023-05-17 00:00:00,잠실역 롯데월드,0.0125
2023-05-17 01:00:00,롯데백화점에비뉴엘월드타워점,0.00166
2023-05-17 01:00:00,롯데월드몰,0.00643
2023-05-17 01:00:00,롯데월드잠실점,0.00218
2023-05-17 01:00:00,방이동 먹자골목,0.02388
2023-05-17 01:00:00,올림픽공원세계평화의문,0.0
2023-05-17 01:00:00,잠실역 롯데월드,0.01144
2023-05-17 02:00:00,롯데백화점에비뉴엘월드타워점,0.00201
2023-05-17 02:00:00,롯데월드몰,0.01072
2023-05-17 02:00:00,롯데월드잠실점,0.00218
2023-05-17 02:00:00,방이동 먹자골목,0.02195
2023-05-17 02:00:00,올림픽공원세계평화의문,0.0
2023-05-17 02:00:00,잠실역 롯데월드,0.01183
2023-05-17 03:00:00,롯데백화점에비뉴엘월드타워점,0.00148
2023-05-17 03:00:00,롯데월드몰,0.00786
2023-05-17 03:00:00,롯데월드잠실점,0.00196
2023-05-17 03:00:00,방이동 먹자골목,0.02029
2023-05-17 03:00:00,올림픽공원세계평화의문,0.0
2023-05-17 03:00:00,잠실역 롯데월드,0.01164
2023-05-17 04:00:00,롯데백화점에비뉴엘월드타워점,0.00175
2023-05-17 04:00:00,롯데월드몰,0.00429
2023-05-17 04:00:00,롯데월드잠실점,0.0024
2023-05-17 04:00:00,방이동 먹자골목,0.01978
2023-05-17 04:00:00,올림픽공원세계평화의문,0.0
2023-05-17 04:00:00,잠실역 롯데월드,0.0115
2023-05-17 05:00:00,롯데백화점에비뉴엘월드타워점,0.00157
2023-05-17 05:00:00,롯데월드몰,0.005
2023-05-17 05:00:00,롯데월드잠실점,0.00196
2023-05-17 05:00:00,방이동 먹자골목,0.02037
2023-05-17 05:00:00,올림픽공원세계평화의문,0.0
2023-05-17 05:00:00,잠실역 롯데월드,0.01199
2023-05-17 06:00:00,롯데백화점에비뉴엘월드타워점,0.00515
2023-05-17 06:00:00,롯데월드몰,0.01
2023-05-17 06:00:00,롯데월드잠실점,0.00676
2023-05-17 06:00:00,방이동 먹자골목,0.02286
2023-05-17 06:00:00,올림픽공원세계평화의문,0.0
2023-05-17 06:00:00,잠실역 롯데월드,0.01478
2023-05-17 07:00:00,롯데백화점에비뉴엘월드타워점,0.01048
2023-05-17 07:00:00,롯데월드몰,0.00143
2023-05-17 07:00:00,롯데월드잠실점,0.01832
2023-05-17 07:00:00,방이동 먹자골목,0.02345
2023-05-17 07:00:00,올림픽공원세계평화의문,0.03941
2023-05-17 07:00:00,잠실역 롯데월드,0.01795
2023-05-17 08:00:00,롯데백화점에비뉴엘월드타워점,0.01964
2023-05-17 08:00:00,롯데월드몰,0.00143
2023-05-17 08:00:00,롯데월드잠실점,0.03337
2023-05-17 08:00:00,방이동 먹자골목,0.02661
2023-05-17 08:00:00,올림픽공원세계평화의문,0.09637
2023-05-17 08:00:00,잠실역 롯데월드,0.02322
2023-05-17 09:00:00,롯데백화점에비뉴엘월드타워점,0.0309
2023-05-17 09:00:00,롯데월드몰,0.00214
2023-05-17 09:00:00,롯데월드잠실점,0.09053
2023-05-17 09:00:00,방이동 먹자골목,0.02844
2023-05-17 09:00:00,올림픽공원세계평화의문,0.091
2023-05-17 09:00:00,잠실역 롯데월드,0.03088
